epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,1735.73,1.18597,0.91235,1.27512,0.63237,0.63025,0.68711,0.39314,1.48078,1.11987,1.2603,2.68667e-05,2.68667e-05,2.68667e-05
112,1765.72,1.17168,0.90797,1.27394,0.62424,0.63825,0.69016,0.39813,1.45235,1.11328,1.24879,2.36769e-05,2.36769e-05,2.36769e-05
113,1795.49,1.16698,0.90908,1.27109,0.61999,0.64042,0.68507,0.39304,1.47258,1.1224,1.25569,2.08169e-05,2.08169e-05,2.08169e-05
114,1824.95,1.17878,0.89995,1.26416,0.62443,0.64042,0.68763,0.39584,1.46691,1.11686,1.2528,1.82888e-05,1.82888e-05,1.82888e-05
115,1853.76,1.17868,0.90076,1.26616,0.63569,0.63732,0.6945,0.40075,1.45456,1.11179,1.25012,1.60943e-05,1.60943e-05,1.60943e-05
116,1883.33,1.17656,0.90267,1.26975,0.63788,0.63763,0.69582,0.40135,1.4559,1.11114,1.25169,1.42348e-05,1.42348e-05,1.42348e-05
117,1912.75,1.1627,0.89753,1.26464,0.644,0.63484,0.69462,0.39857,1.46751,1.11508,1.25648,1.27117e-05,1.27117e-05,1.27117e-05
118,1943,1.17451,0.89394,1.27026,0.63638,0.64259,0.69629,0.40227,1.45903,1.11335,1.25315,1.15259e-05,1.15259e-05,1.15259e-05
119,1974.14,1.16909,0.89459,1.26659,0.63375,0.64166,0.69397,0.40146,1.45813,1.11163,1.2523,1.06784e-05,1.06784e-05,1.06784e-05
120,2004.05,1.16116,0.89815,1.26829,0.63992,0.63608,0.69344,0.39895,1.47289,1.11376,1.25788,1.01696e-05,1.01696e-05,1.01696e-05
